DateTime,Distance,Height,Stored_Water,Fill_Height,CPU_Temp,Air_Temp
2021-09-04 16:56:29, 47.76,191.24,20896,110.22,41.70,20.00
2021-09-04 16:56:43, 46.92,192.08,20988,110.71,41.16,20.00
2021-09-04 16:56:56, 39.98,199.02,21746,114.71,41.16,20.00
2021-09-04 16:57:10, 39.54,199.46,21794,114.96,42.24,20.00
2021-09-04 16:57:24, 39.73,199.27,21774,114.85,41.16,20.00
2021-09-04 16:57:38, 43.63,195.37,21348,112.61,41.16,20.00
2021-09-04 16:57:51, 47.31,191.69,20945,110.48,41.70,20.00
2021-09-04 16:58:05, 44.70,194.30,21231,111.99,41.16,20.00
2022-05-15 19:32:28, 66.46,172.54,18853,99.45,42.24,20.00
2022-05-15 19:33:30, 66.50,172.50,18849,99.42,42.24,20.00
2022-05-15 21:45:57, 66.33,172.67,18867,99.52,42.77,19.81
2022-05-15 21:46:40, 44.84,194.16,21215,111.91,44.39,19.88
2022-05-15 21:47:52, 66.87,172.13,18808,99.21,43.31,19.81
2022-05-15 21:48:05, 64.36,174.64,19082,100.66,42.77,19.81
2022-05-15 21:48:19, 66.96,172.04,18798,99.16,42.77,19.88
2022-05-15 21:48:32, 66.93,172.07,18802,99.18,42.77,19.81
2022-05-15 21:48:45, 63.89,175.11,19134,100.93,42.77,19.94
2022-05-15 21:50:34, 66.86,172.14,18809,99.22,43.85,19.81
2022-05-15 21:53:38, 66.82,172.18,18814,99.24,43.31,19.81
2022-05-15 21:56:41, 64.90,174.10,19023,100.35,43.31,19.88
